MJD	FLUX_100_300000	ERROR_100_300000
54961.500743	1.341695e-07	8.027384e-09
54962.500743	6.569102e-07	2.369678e-07
54963.500743	1.512850e-07	1.807794e-08
54964.500743	1.566732e-07	1.868046e-09
54965.500743	2.440906e-07	9.630273e-08
54966.500743	1.391185e-07	5.070894e-08
54967.500743	1.198575e-07	2.328202e-09
54968.500743	1.704525e-07	4.895129e-09
54969.500743	6.285023e-07	2.061960e-07
54970.500743	1.479244e-07	1.740784e-09
54971.500743	1.038548e-07	3.379571e-08
54972.500743	4.039625e-07	1.586633e-07
54973.500743	1.896619e-07	7.042048e-08
54974.500743	1.886290e-07	1.775263e-08
54975.500743	1.392463e-07	4.199860e-08
54976.500743	2.682709e-07	1.082196e-07
54977.500743	2.946650e-07	1.056658e-07
54978.500743	1.031797e-07	1.230237e-07
54979.500743	4.653778e-07	1.553752e-07
54980.500743	5.846767e-07	1.813554e-07
54981.500743	1.161533e-07	3.082402e-08
54982.500743	2.260109e-07	7.813703e-08
54983.500743	1.020642e-07	3.386286e-08
54984.500743	3.938063e-07	1.332304e-07
54985.500743	3.465700e-07	1.285642e-07
54986.500743	1.475916e-07	6.812866e-08
54987.500743	9.630620e-08	1.168479e-08
54988.500743	1.605047e-07	1.090640e-07
54989.500743	2.714956e-07	1.151805e-07
54990.500743	7.725327e-07	2.648986e-07
54991.500743	2.082039e-07	4.146578e-08
54992.500743	8.841801e-08	9.209146e-10
54993.500743	3.925282e-07	1.301571e-07
54994.500743	1.367839e-07	5.248206e-08
54995.500743	1.894258e-07	6.725352e-08
54996.500743	1.658553e-07	6.391267e-08
54997.500743	4.251878e-07	1.491766e-07
54998.500743	2.890626e-07	1.082873e-07
54999.500743	1.743273e-07	2.588769e-07
55000.500743	6.183644e-08	1.778614e-08
55001.500743	1.198316e-07	4.801372e-08
55002.500743	7.321925e-08	2.275785e-08
55003.500743	2.447223e-07	4.070292e-08
55004.500743	2.870029e-07	1.145438e-07
55005.500743	3.290566e-07	1.346784e-07
55006.500743	1.764729e-07	7.520032e-08
55007.500743	8.018006e-07	2.347796e-07
55008.500743	1.161955e-07	2.502596e-09
55009.500743	1.236514e-07	2.449368e-10
55010.500743	1.509357e-07	5.194246e-08
55011.500743	8.433705e-07	2.552939e-07
55012.500743	1.031088e-07	9.221754e-10
55013.500743	2.501730e-07	2.359994e-08
55014.500743	2.720179e-07	3.463631e-08
55015.500743	6.193299e-07	2.185603e-07
55016.500743	3.910371e-07	1.317945e-07
55017.500743	3.081468e-07	6.678236e-08
55018.500743	1.311563e-07	8.903274e-10
55019.500743	4.393064e-07	1.776263e-07
55020.500743	3.325945e-07	6.206711e-07
55021.500743	1.522754e-07	1.606414e-10
55022.500743	1.785153e-07	1.960426e-09
55023.500743	2.793337e-07	4.449142e-08
55024.500743	1.198896e-07	6.511788e-09
55025.500743	1.674721e-07	2.678681e-08
55026.500743	2.476457e-07	4.094666e-08
55027.500743	7.987624e-08	3.946198e-09
55028.500743	2.338311e-07	3.499595e-08
55029.500743	9.312147e-07	2.700033e-07
55030.500743	8.236228e-07	1.501497e-07
55031.500743	1.094936e-07	4.367953e-10
55032.500743	6.878015e-08	5.544183e-10
55033.500743	1.773359e-06	1.441078e-05
55034.500743	6.660670e-07	1.120620e-07
55035.500743	1.829939e-07	2.557665e-08
55036.500743	3.713056e-07	1.638889e-07
55037.500743	6.854646e-07	8.203483e-08
55038.500743	4.482353e-07	2.331452e-07
55039.500743	1.755979e-07	2.524244e-08
55040.500743	1.887199e-07	9.349467e-09
55041.500743	1.938345e-07	9.121432e-08
55042.500743	7.814826e-07	2.857914e-07
55043.500743	3.659957e-07	1.793633e-07
55044.500743	9.579825e-07	2.990886e-07
55045.500743	2.997608e-07	1.281835e-07
55046.500743	3.223659e-07	1.354891e-07
55047.500743	4.190504e-07	3.241891e-08
55048.500743	2.094384e-07	1.174678e-09
55049.500743	7.841202e-07	3.078520e-07
55050.500743	5.478561e-07	2.074042e-07
55051.500743	3.792794e-07	1.284069e-07
55052.500743	4.319446e-07	1.445980e-07
55053.500743	3.087617e-07	1.075445e-07
55054.500743	4.917392e-07	1.864794e-07
55055.500743	8.516201e-07	2.951820e-07
55056.500743	2.376269e-07	7.689053e-09
55057.500743	7.939157e-07	2.813736e-07
55058.500743	7.378836e-08	7.210542e-11
55059.500743	2.025712e-07	6.284098e-08
55060.500743	2.157495e-07	1.431936e-07
55061.500743	1.620352e-07	3.036009e-09
55062.500743	2.723119e-07	2.509514e-07
55063.500743	2.194588e-07	8.075499e-08
55064.500743	1.280813e-06	3.251700e-07
55065.500743	8.659398e-07	1.116759e-07
55066.500743	3.537977e-07	1.257215e-07
55067.500743	5.998687e-07	2.205712e-07
55068.500743	3.995774e-07	3.583877e-09
55069.500743	2.303172e-07	1.255959e-09
55070.500743	2.070268e-07	2.791663e-08
55071.500743	1.946241e-07	2.589839e-08
55072.500743	1.829978e-07	2.876666e-08
55073.500743	4.936155e-07	1.811993e-07
55074.500743	2.382439e-07	9.936375e-08
55075.500743	6.969622e-07	1.137289e-07
55076.500743	2.665967e-07	7.461345e-08
55077.500743	3.328558e-07	1.002795e-06
55078.500743	2.298899e-07	1.787654e-08
55079.500743	1.073062e-07	1.833539e-08
55080.500743	4.672206e-07	2.478515e-07
55081.500743	3.565143e-07	1.516097e-07
55082.500743	1.582187e-07	5.270280e-10
55083.500743	4.563597e-07	2.481039e-07
55084.500743	4.557034e-07	7.570736e-08
55085.500743	5.563759e-07	1.262154e-07
55086.500743	8.317309e-07	1.307508e-07
55087.500743	5.097613e-07	1.693599e-07
55088.500743	4.213290e-07	6.111870e-08
55089.500743	1.858630e-06	6.290362e-07
55090.500743	1.382356e-06	2.523233e-07
55091.500743	2.976174e-06	7.147902e-07
55092.500743	9.113254e-07	1.972026e-07
55093.500743	6.766333e-07	2.552727e-07
55094.500743	3.068710e-07	1.086441e-10
55095.500743	2.489463e-07	2.316741e-08
55096.500743	1.259273e-07	3.166715e-09
55097.500743	6.384204e-07	1.379961e-07
55098.500743	1.640817e-06	5.764256e-07
55099.500743	3.497967e-07	6.483974e-09
55100.500743	1.123510e-06	3.294675e-07
55101.500743	4.134207e-07	1.351529e-07
55102.500743	2.104186e-07	1.404362e-08
55103.500743	1.721881e-07	2.288364e-08
55105.500743	1.061511e-06	3.279956e-07
55106.500743	2.519352e-07	8.792833e-08
55107.500743	6.802962e-07	2.308257e-07
55108.500743	2.878115e-07	7.239574e-09
55109.500743	1.220728e-06	3.831406e-07
55110.500743	7.007977e-07	1.231286e-07
55111.500743	4.338893e-07	7.627660e-08
55112.500743	8.608611e-07	1.187840e-07
55113.500743	6.610032e-07	1.256844e-07
55114.500743	1.663093e-07	9.522961e-10
55115.500743	7.994535e-07	1.772871e-07
55116.500743	1.183306e-06	2.914524e-07
55117.500743	7.123836e-07	1.412371e-07
55118.500743	7.746154e-07	1.286259e-07
55119.500743	5.338278e-07	1.713496e-07
55120.500743	6.670036e-07	2.092149e-07
55121.500743	2.370606e-07	8.745396e-08
55122.500743	4.701497e-07	1.870119e-07
55123.500743	1.380890e-07	5.221296e-08
55124.500743	4.250881e-07	1.534056e-07
55125.500743	5.710742e-07	2.156995e-07
55126.500743	1.072642e-06	2.780542e-07
55127.500743	6.869693e-07	2.898185e-07
55128.500743	7.352583e-07	1.977377e-07
55129.500743	6.181548e-07	2.564082e-07
55130.500743	6.289632e-07	1.565865e-07
55131.500743	1.829662e-07	1.093294e-09
55132.500743	5.555356e-07	1.359118e-07
55133.500743	6.848971e-07	2.231366e-07
55134.500743	7.131701e-07	3.173899e-07
55135.500743	3.968859e-07	1.079712e-07
55136.500743	2.310067e-07	1.528951e-08
55137.500743	1.686587e-07	2.345179e-10
55138.500743	9.530493e-08	2.725464e-12
55139.500743	4.920002e-07	6.308147e-08
55140.500743	3.878082e-07	5.846885e-08
55141.500743	7.263793e-07	2.183162e-07
55142.500743	1.436463e-06	4.512566e-07
55143.500743	1.389668e-07	1.438248e-11
55144.500743	1.009650e-06	1.403505e-07
55145.500743	3.895028e-07	1.444537e-07
55146.500743	3.005930e-07	3.981860e-09
55147.500743	9.841807e-07	6.615382e-08
55148.500743	3.453592e-07	3.782173e-08
55149.500743	8.175917e-07	1.916381e-07
55150.500743	7.477374e-07	1.076110e-07
55151.500743	2.474759e-07	5.528196e-09
55152.500743	4.428102e-07	1.878245e-07
55153.500743	3.293475e-07	2.490979e-11
55154.500743	1.216931e-07	1.902294e-08
55155.500743	2.543163e-07	9.805237e-08
55156.500743	1.882822e-07	9.042947e-09
55157.500743	1.435709e-07	5.097517e-08
55158.500743	1.870526e-07	3.211092e-08
55159.500743	1.681388e-06	2.389390e-07
55160.500743	2.691606e-07	2.563369e-08
55161.500743	2.715223e-07	4.246866e-10
55162.500743	1.281325e-06	2.143040e-07
55163.500743	3.541329e-07	1.919776e-09
55164.500743	6.234037e-07	1.336224e-07
55165.500743	3.703323e-07	7.161092e-08
55166.500743	1.029288e-07	4.817226e-12
55167.500743	3.256011e-07	1.086385e-07
55168.500743	3.765373e-07	6.815658e-08
55169.500743	3.974114e-07	1.537749e-07
55170.500743	2.231006e-07	3.006817e-08
55171.500743	3.588429e-07	6.262137e-08
55172.500743	3.233945e-07	1.107171e-07
55173.500743	4.449423e-07	1.625609e-07
55174.500743	7.169874e-07	3.059342e-07
55175.500743	1.581053e-07	2.167106e-10
55176.500743	3.939095e-07	1.169567e-07
55177.500743	1.148650e-07	2.324234e-08
55178.500743	2.189982e-07	4.225631e-10
55179.500743	6.280024e-07	9.151302e-08
55180.500743	1.043393e-06	2.047550e-07
55181.500743	4.547568e-07	1.124696e-07
55182.500743	6.014971e-07	1.893581e-07
55183.500743	2.357170e-07	4.098464e-08
55184.500743	1.547844e-07	1.077533e-10
55185.500743	1.636417e-07	8.356472e-11
55186.500743	2.529529e-07	4.572594e-07
55187.500743	1.089490e-07	1.062708e-11
55188.500743	8.413086e-07	3.016629e-07
55189.500743	1.343141e-07	1.565607e-11
55190.500743	4.320786e-07	8.576768e-08
55191.500743	1.486226e-07	2.487287e-10
55192.500743	2.586646e-07	5.974403e-09
55193.500743	1.248792e-07	3.292225e-08
55194.500743	6.954940e-07	8.520391e-08
55195.500743	7.931822e-07	3.850479e-07
55196.500743	7.216782e-07	1.451607e-07
55197.500743	9.040075e-07	1.860925e-07
55198.500743	1.832561e-06	2.573557e-07
55199.500743	6.708748e-08	2.498820e-11
55200.500743	1.252409e-07	1.303191e-08
55201.500743	3.164329e-07	1.265708e-07
55202.500743	6.397261e-07	2.724584e-07
55203.500743	2.418741e-07	9.894893e-08
55204.500743	1.599799e-07	1.917140e-10
55205.500743	1.343264e-06	1.239181e-07
55206.500743	2.103717e-07	9.911513e-07
55207.500743	2.772753e-07	9.439971e-10
55208.500743	1.823118e-07	4.480755e-11
55209.500743	1.088705e-07	9.412481e-09
55210.500743	2.337110e-07	7.978890e-10
55211.500743	1.338416e-06	4.122917e-07
55212.500743	1.632836e-07	2.127329e-08
55213.500743	2.817052e-07	1.078680e-07
55214.500743	8.598996e-08	5.488456e-10
55215.500743	1.856914e-07	3.409141e-09
55216.500743	3.768480e-07	1.374284e-07
55217.500743	5.366099e-07	2.180750e-07
55218.500743	2.026029e-07	2.084985e-08
55219.500743	1.246441e-07	1.099405e-10
55220.500743	2.499756e-07	1.900880e-08
55221.500743	2.244758e-07	7.512758e-08
55222.500743	1.080798e-07	3.632047e-11
55223.500743	6.356540e-07	1.925969e-07
55224.500743	1.070668e-06	2.239633e-07
55225.500743	3.618747e-07	4.633895e-08
55226.500743	5.808790e-07	9.696996e-08
55227.500743	4.766961e-07	1.505935e-07
55228.500743	1.269619e-07	4.374599e-11
55229.500743	1.558965e-07	5.152830e-08
55230.500743	4.317752e-07	1.661325e-07
55231.500743	3.492387e-07	5.424991e-08
55232.500743	3.828033e-07	1.241048e-07
55233.500743	3.710735e-07	1.296526e-07
55234.500743	3.857960e-07	5.420267e-08
55235.500743	1.507042e-07	4.273052e-08
55236.500743	4.032810e-07	5.143003e-08
55237.500743	3.697043e-07	1.282418e-07
55238.500743	2.730063e-07	1.670276e-09
55239.500743	1.782821e-07	8.691867e-10
55240.500743	2.900394e-07	2.687904e-07
55241.500743	5.289072e-07	8.325203e-08
55242.500743	3.357198e-07	4.711760e-08
55243.500743	5.356999e-07	5.707076e-08
55244.500743	1.136002e-07	1.455772e-08
55245.500743	2.394010e-07	3.033399e-09
55246.500743	2.988283e-07	3.459905e-08
55247.500743	9.519998e-07	1.266099e-07
55248.500743	5.801751e-07	9.763202e-08
55249.500743	3.142682e-07	1.265477e-07
55250.500743	1.249822e-06	1.712626e-07
55251.500743	1.157218e-06	4.005510e-07
55252.500743	1.190900e-07	1.800565e-09
55253.500743	1.943632e-06	2.955913e-07
55254.500743	6.895687e-07	9.451048e-08
55255.500743	6.094369e-07	2.532731e-07
55256.500743	3.072221e-07	5.303975e-09
55257.500743	3.770718e-07	1.492443e-07
55258.500743	2.460992e-07	2.857605e-08
55259.500743	8.271215e-07	3.739827e-07
55260.500743	1.879671e-07	5.813580e-10
55261.500743	3.095966e-07	7.428631e-08
55262.500743	4.178366e-07	2.011321e-07
55263.500743	2.017557e-06	2.914787e-07
55264.500743	1.102873e-06	1.351478e-07
55265.500743	8.789954e-07	3.284759e-07
55266.500743	2.127706e-07	5.601495e-10
55267.500743	5.724493e-07	2.301230e-07
55268.500743	2.570347e-07	1.741997e-09
55269.500743	5.346226e-07	1.961906e-07
55270.500743	4.527710e-07	1.594075e-07
55271.500743	2.281817e-07	4.077091e-08
55272.500743	1.460154e-07	2.680353e-08
55273.500743	5.022890e-07	7.496152e-08
55274.500743	1.401089e-07	1.156634e-09
55275.500743	1.134294e-06	3.455022e-07
55276.500743	1.681073e-07	5.495449e-10
55277.500743	9.877617e-07	3.129761e-07
55278.500743	4.538460e-07	1.739424e-07
55279.500743	1.621623e-07	4.910422e-09
55280.500743	1.655221e-07	3.563522e-12
55281.500743	2.888001e-07	4.356054e-08
55282.500743	4.467736e-08	9.271213e-12
55283.500743	1.280550e-07	4.158699e-08
