JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2458133.694	15.391			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458133.705	14.497			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458133.707	14.878			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458134.604520	14.584	0.130		CV	HKEB		ENSEMBLE	000-BBQ-061	15545BEK	OTHER	1	1.011	Z		13.607		OJ 287	AAVSO	STD				
2458135.49089	14.759	0.07		V	GCO		ENSAMBLE	000-BBQ-043	7193UE	EXP.TIME= 3X300SEC.-STACK METHOD: AVERAGE-'ACP->LX200GPS/R'-'SBIG ST-7 DUAL CCD CAMERA'	0	1.126	Z		12.843		OJ 287	AAVSO	STD	0			
2458136.41042	14.6			CV	WKL				1071aobl		0		Z	14.6			OJ 287	BAV	STD				
2458136.443788	14.961	0.036		V	ATE		NA	146	X16659HL		0	1.311	Z		14.746	2458136.44932	OJ 287	AAVSO	STD				
2458136.67200	15.099			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458136.67800	14.718			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458136.68300	14.347			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458136.92404	14.755	0.025		V	DKS		000-BBQ-043	000-BBQ-029	14597CF	ERROR: V-C STDDEV+C POISSON IN QUAD;	0	1.560	Z	12.800	14.541		OJ 287	AAVSO	STD				
2458137.436576	14.808	0.056		V	ATE		NA	146	X16659HL		0	1.334	Z		14.662	2458137.44213	OJ 287	AAVSO	STD				
2458137.54734	14.759	0.011		V	BDG		ENSEMBLE	11	KIDGER	MEAN OF 10 OBS	1	1.173	Z		15.149		OJ 287	BAA-VSS	STD	1			
2458137.54811	14.339	0.017		R	BDG		ENSEMBLE	11	KIDGER	MEAN OF 10 OBS	1	1.173	Z		14.748		OJ 287	BAA-VSS	STD	1			
2458137.590803	14.784	0.009		V	DSS		000-BBQ-017		X17271YP		0	1.090	Z	-13.242		2458137.59636	OJ 287	AAM	STD				
2458137.681	15.25			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458137.688	14.77			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458137.692	14.41			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458137.91264	14.758	0.034		V	DKS		000-BBQ-043	000-BBQ-029	14597CF	ERROR: V-C STDDEV+C POISSON IN QUAD;	0	1.477	Z	12.800	14.552		OJ 287	AAVSO	STD				
2458138.408478	14.629	0.139		CV	HKEB		ENSEMBLE	000-BBQ-061	15545BEK	OTHER	1	1.958	Z		13.561		OJ 287	AAVSO	STD				
2458138.44565	14.890	0.014		V	SDI		000-BBQ-029	000-BBQ-017	X17142AJK	BRT COAST 120S. EXP	0	1.450	Z	14.630	15.236		OJ 287	BAA-VSS	STD				
2458138.463	14.8			Vis.	PYG	U	S-2		251.02				Z				OJ 287	BAA-VSS	STD				
2458138.463	15.33			B	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458138.464	14.91			V	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458138.465	14.47			R	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458138.541528	14.876	0.008		V	DAM		146		X15649LOX		0		Z	13.359			OJ 287	AAVSO	STD				
2458138.658	14.9			Vis.	HUR				251.02	COAST; CCD observation incorrectly loaded as Visual.; CCD			Z				OJ 287	BAA-VSS	STD				BAAVSS
2458138.670	15.282			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458138.676	14.862			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458138.681	14.466			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458139.637	14.500			R	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458139.638	14.876			V	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458139.639	15.348			B	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458140.605568	14.931	0.009		V	DSS		000-BBQ-017		X17271YP		0	1.128	Z	-13.569		2458140.61118	OJ 287	AAM	STD				
2458140.656	14.470			R	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458140.676	15.200			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
